"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"41010","2012-01-01T00:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","320","1","40",,,,,"10222",,,"9","224",,,,,"1","236",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T00:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","200","1","20",,,,,"10234",,,"9","244",,,,,"1","254",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-01T00:00:00","26.23","-75.34",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"229",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HJB9","2012-01-01T00:00:00","25.50","-79.80",,,"1","6","0","0","3","4",,"1",,"0","90","4","87",,"98","2","0","10230","1","10","0","231","0","205",,"193","3","244","4","4","1",,"8","8","5",,"2","1",,,,"242","59","992","114","5","1","2","1","111111","111111111111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"9HXC9","2012-01-01T00:00:00","26.00","-79.50",,,"1","6","0","0","1","5",,"1",,"0","60","4","62",,"98",,"0","10200","2","20","0","230","0","146",,"82","1","263","2","2","7",,"5","0","0",,,,,,,"242","69","992","114","5","1","2","1","111112","111A1111111AA1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"A8IN7","2012-01-01T00:00:00","23.70","-74.60",,,"1","6","0","0","4","4",,"1","NL","0","60","4","36","0","97","2","1","10200","4","0","0","250","0","230","1","220","7","280","2","1","1","0","1","4","5",,"3","4",,,,"242","34","926","112","5","1","0","1","111111","111111111111A1",,,"4","1","8","1","1","0",,,,,,,,,,,,"4",,,"3","11111111111191111110","7",,,,,,,
"C6FM8","2012-01-01T00:00:00","26.60","-79.30",,,"1","6","0","0","7","3",,"1",,"0","40","4","41",,"98",,"1","10220","4","0","0","240","0","190",,"163","1","250","1","1","0",,"A","0","0",,"3","3",,"0","0","242","69","992","114","5","1","2","1","111111","111A1111111131",,,,,,"1","1",,,"0","0",,,,,,,,,"4",,,,,,,,,,,,
"C6PZ8","2012-01-01T00:00:00","25.70","-77.60",,,"1","6","0","0","3","3",,"1",,"0","60","4","87",,,,,"10240","4",,"3","220","0","200",,"190","1","250","0",,,,"A",,,,,,,,,"242","57","992","114","5","1","2","1","111111","11AAA111111AA7",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"PINX","2012-01-01T00:00:00","22.40","-72.40",,,"1","6","0","0","7","4",,"1",,"0","90","4","87",,"98","2","2","10190","1","10","0","260",,,,,"1","260","6",,,,"A",,,,,"2","12",,"2","242","22","992","114","5","1","2","1","11111F","1111111AA11331",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-01T00:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","53","8","30",,,,,"10225",,,"0","219",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
